Country_1,Country_2,Delay,Pearson
Afghanistan,Serbia,-0.0,49.8282472654879
Afghanistan,Seychelles,-0.0,42.53119326131525
Afghanistan,Singapore,-0.0,42.696770955545844
Afghanistan,Slovakia,-0.0,50.6754629637162
Afghanistan,Slovenia,-0.0,51.32648410558926
Afghanistan,South Africa,-0.0,51.782468343608045
Afghanistan,Spain,-0.0,51.65888199103474
Afghanistan,Sri Lanka,-0.0,47.170060308866496
Afghanistan,Sudan,-0.0,43.20268678066856
Afghanistan,Suriname,-0.0,42.53119326131525
Afghanistan,Sweden,-0.0,52.18193197137357
Afghanistan,Switzerland,-0.0,52.75165499487758
Afghanistan,Taiwan*,-0.0,37.52601105799819
Afghanistan,Thailand,-0.0,45.916741019444146
Afghanistan,Togo,2.0,42.21669595829351
Afghanistan,Trinidad and Tobago,-0.0,42.53119326131525
Afghanistan,Tunisia,-0.0,50.66109683680007
Afghanistan,Turkey,-0.0,47.10937957419692
Afghanistan,US,-0.0,52.925844828449925
Afghanistan,Ukraine,-0.0,47.70865318051628
Afghanistan,United Arab Emirates,-0.0,49.598102015530614
Afghanistan,United Kingdom,-0.0,52.22954705750435
Afghanistan,Uruguay,-0.0,42.53119326131525
Afghanistan,Uzbekistan,-0.0,35.928749181303424
Afghanistan,Venezuela,-0.0,40.01450197147687
Afghanistan,Vietnam,-0.0,48.2552478405376
Afghanistan,occupied Palestinian territory,-53.0,nan
Albania,Afghanistan,-0.0,50.39304257467947
Albania,Algeria,-0.0,46.36740071326743
Albania,Andorra,8.0,33.149341076158976
Albania,Antigua and Barbuda,-0.0,49.24550401465305
Albania,Argentina,-0.0,51.55238960368242
Albania,Armenia,-0.0,49.09233215492405
Albania,Aruba,-0.0,49.24550401465305
Albania,Australia,-0.0,51.08499590209202
Albania,Austria,-0.0,52.844027176354956
Albania,Azerbaijan,-0.0,46.40995977911662
Albania,Bahrain,-0.0,46.501538924724585
Albania,Bangladesh,-0.0,44.62662713352201
Albania,Belarus,-0.0,51.398527402603705
Albania,Belgium,-0.0,51.543526425782744
Albania,Bhutan,4.0,38.49942997536506
Albania,Bolivia,-0.0,49.617844639817015
Albania,Bosnia and Herzegovina,-0.0,52.79432464160139
Albania,Brazil,-0.0,52.80040099813031
Albania,Brunei,-0.0,52.4382970069131
Albania,Bulgaria,-0.0,50.94227935175428
Albania,Burkina Faso,-0.0,51.4994694576803
Albania,Cambodia,-0.0,51.527305366151225
Albania,Cameroon,2.0,41.309508910249605
Albania,Canada,-0.0,51.28174809349738
Albania,Cayman Islands,-0.0,49.24550401465305
Albania,Central African Republic,-0.0,31.37286152374647
Albania,Chile,-0.0,52.863480290725164
Albania,China,19.0,18.669766244773573
Albania,Colombia,-0.0,51.5324270248139
Albania,Congo (Brazzaville),-0.0,31.37286152374647
Albania,Congo (Kinshasa),-0.0,52.77802484854381
Albania,Costa Rica,-0.0,52.42341283983322
Albania,Cote d'Ivoire,-0.0,49.783806203728055
Albania,Croatia,-0.0,49.6059577526528
Albania,Cruise Ship,16.0,22.73039375087523
Albania,Cuba,-0.0,52.200885679054394
Albania,Curacao,-0.0,42.49763699085749
Albania,Cyprus,-0.0,52.12367485381723
Albania,Czechia,-0.0,52.71984680505017
Albania,Denmark,-0.0,53.436800705291915
Albania,Dominican Republic,-0.0,47.74072420651937
Albania,Ecuador,-0.0,43.122522839677146
Albania,Egypt,-0.0,49.47228162703069
Albania,Equatorial Guinea,-0.0,31.37286152374647
Albania,Estonia,-0.0,50.172101725602644
Albania,Eswatini,-0.0,42.49763699085749
Albania,Ethiopia,-0.0,49.24550401465305
Albania,Finland,-0.0,52.51342147459795
Albania,France,-0.0,51.909832805189076
Albania,Gabon,-0.0,42.49763699085749
Albania,Georgia,-0.0,49.32217154907183
Albania,Germany,-0.0,52.35896101678097
